valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.145,2016,0.895,Rihanna,0.494,223213,0.17,0,6D2tzc8kRnZb7P1lNwMBLH,0,10,0.139,-11.368,1,Close To You,64,2016-01-28,0.0337,80.098
0.813,2018,0.839,Camila Cabello,0.726,214387,0.304,0,3iq9nhbI8fcnNamxMft1uv,0,3,0.0853,-8.677,1,Real Friends,60,2018-01-12,0.131,91.97
0.278,2019,0.966,Joy Oladokun,0.436,197768,0.122,0,5VQ1j0nlkUpXMNdnY5cDH0,0,11,0.128,-10.947,1,Blink Twice,34,2019-10-09,0.0434,108.967
0.362,2021,0.819,Violet Skies,0.372,217049,0.178,0,1WVpCn4WGCrgGXhhtyUzyM,1.79e-06,7,0.115,-9.51,1,Lonely - Mahogany Sessions,41,2021-01-14,0.0506,183.403
0.191,2021,0.77,Trousdale,0.412,226154,0.285,0,20mb9SDTZugEbNwU5knL58,0,5,0.13,-8.031,1,Better Off,47,2021-02-26,0.0268,51.988
0.33,2017,0.245,Clean Bandit,0.638,205748,0.658,0,2xmrfQpmS2iJExTlklLoAL,3.77e-06,3,0.0919,-6.318,1,I Miss You (feat. Julia Michaels),1,2017-10-26,0.0456,105.076
0.602,1998,0.185,Boyzone,0.541,235600,0.638,0,1EwTY3ZJe4qsrZSTpiVbwq,5.36e-06,5,0.0582,-7.773,1,That's How Love Goes,32,1998-05-25,0.0284,167.671
0.224,2020,0.0308,Kasbo,0.496,268966,0.679,0,3Up1MsHqcxUVgB2iuqFRq2,0.00327,8,0.316,-6.893,1,Shut The World Out,56,2020-10-23,0.0345,105.059
0.0832,2019,0.0589,SLANDER,0.452,256043,0.465,0,39glqzRVRAy4vq3PqeTGb8,0.000524,4,0.095,-10.006,0,Love Is Gone,71,2019-05-10,0.0344,149.586
0.136,2021,0.401,TWO LANES,0.67,255789,0.434,0,2W9zh4QNFmuOyKHbtYYNm0,0.862,7,0.109,-12.923,0,Another Time,60,2021-02-25,0.046,113.997
0.425,2020,0.583,Jubël,0.567,194196,0.698,0,5Wg6cZxFJ1xkaWGNUUuIOc,0.00607,5,0.111,-6.281,1,4AM,54,2020-03-27,0.0389,108.108
