valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.159,2020,0.058,Ritt Momney,0.399,210463,0.492,0,1fah1uAs7HeTYDlNftKr3K,0.00101,6,0.11,-10.777,0,Put Your Records On,3,2020-04-24,0.0538,91.066
0.593,2021,0.0215,The Weeknd,0.65,191014,0.825,0,37BZB0z9T8Xu7U3e65qxFy,2.44e-05,0,0.0936,-4.645,1,Save Your Tears (with Ariana Grande) (Remix),95,2021-04-23,0.0325,118.091
0.573,2020,0.0863,Sam Feldt,0.667,161944,0.827,0,140XpWSdJ0jZEbLj9iVnPA,0,11,0.0565,-5.631,1,The Best Days (feat. Tabitha),72,2020-11-20,0.0368,107.95
0.322,2020,0.0469,Kane Brown,0.727,191406,0.626,0,5f1joOtoMeyppIcJGZQvqJ,2.58e-05,7,0.126,-8.415,1,Be Like That - feat. Swae Lee & Khalid,80,2020-07-10,0.0726,86.97
0.323,2020,0.0262,Hailee Steinfeld,0.682,216084,0.783,1,28Tv8zltFDr5wBCG3Pfky4,0,8,0.206,-4.997,1,I Love You's,1,2020-03-26,0.18,106.899
0.531,2020,0.44,Glass Animals,0.761,238805,0.525,0,02MWAaffLxlfxAUY7c5dvx,6.7e-06,11,0.0921,-6.9,1,Heat Waves,84,2020-08-06,0.0944,80.87
0.673,2021,0.326,OneRepublic,0.682,169011,0.72,0,2UbVnbE5FH6008mAm6Mmgw,0,11,0.148,-8.173,0,Run,88,2021-05-05,0.0381,117.003
0.512,2021,0.282,Tate McRae,0.783,210220,0.435,0,31sSFHIe4NaxltVFOEIcTa,0,7,0.0833,-7.78,1,working,79,2021-06-17,0.0588,106.974
0.795,2020,0.162,Lukas Graham,0.715,172399,0.658,1,44l9nnCVvOQBbWG6tDViKl,0,11,0.0742,-4.304,0,Share That Love (feat. G-Eazy),71,2020-08-21,0.106,158.024
0.479,2021,0.216,Galantis,0.595,183726,0.784,0,5K6Ssv4Z3zRvxt0P6EKUAP,0,1,0.0608,-4.878,1,Heartbreak Anthem (with David Guetta & Little Mix),88,2021-05-20,0.102,124.111
0.355,2019,0.286,Maren Morris,0.561,197299,0.597,0,1yTTMcUhL7rtz08Dsgb7Qb,0,11,0.0979,-6.0,0,The Bones - with Hozier,74,2019-10-04,0.0405,76.826
0.305,2020,0.036,John Legend,0.557,196907,0.585,0,4rVW6XqAsSaf5vOwc8FREW,0,8,0.176,-6.201,1,Wild (feat. Gary Clark Jr.),74,2020-06-19,0.0431,63.392
0.508,2020,0.145,Khalid,0.79,181436,0.694,0,0TrPqhAMoaKUFLR7iYDokf,0.00252,9,0.281,-7.726,0,Know Your Worth,78,2020-02-04,0.0708,103.007
0.589,2020,0.0145,Dermot Kennedy,0.579,177173,0.839,0,0l4AReW2LuX0yStPfgQgSR,3.04e-05,8,0.201,-5.409,0,Giants,74,2020-06-24,0.0703,158.141
0.594,2020,0.0119,Various Artists,0.548,164683,0.721,0,7k6tAZp4m93oswrPqSfBbc,0,8,0.216,-4.466,1,On Me (feat. Ava Max),72,2020-05-15,0.0472,177.918
0.464,2021,0.321,Justin Bieber,0.677,198082,0.696,1,4iJyoBOLtHqaGxP12qzhQI,0,0,0.42,-6.181,1,Peaches (feat. Daniel Caesar & Giveon),98,2021-03-19,0.119,90.03
