valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.394,2010,0.00325,B.o.B,0.665,319293,0.878,1,2bnDTGikdoO8CwzlAPyBHR,0,6,0.0663,-4.745,0,Airplanes,61,2010-04-27,0.206,93.047
0.144,2011,0.352,Bad Meets Evil,0.676,303813,0.695,1,5zpDHEU12zATwLGvozxPw2,0,0,0.119,-8.327,1,Lighters,69,2011-01-01,0.245,90.268
0.315,2000,0.144,Eminem,0.785,290427,0.871,1,23wfXwnsPZYe5A1xXRHb3J,0,4,0.309,-2.692,0,The Way I Am,72,2000-05-23,0.265,87.248
0.56,2015,0.00359,Fall Out Boy,0.393,228360,0.858,0,04aAxqtGp5pv12UXAg4pkq,0,4,0.102,-2.868,0,Centuries,81,2015-01-20,0.0729,176.042
0.629,2012,0.0654,The Script,0.421,202533,0.873,0,1X1DWw2pcNZ8zSub3uhlNz,0,10,0.123,-4.343,1,Hall of Fame (feat. will.i.am),69,2012-09-10,0.0564,84.786
0.432,2011,0.0775,Gym Class Heroes,0.592,228533,0.926,0,3C9GbDz0kpP9GyoDWXLBUM,0,7,0.187,-3.469,1,The Fighter (feat. Ryan Tedder),43,2011-11-15,0.126,99.018
0.804,2003,0.11,Black Eyed Peas,0.834,272533,0.696,0,3CNqo3gYrfexdrtjFmC9he,0,5,0.13,-3.224,1,Where Is The Love?,71,2003,0.197,94.09
0.623,2005,0.339,Akon,0.634,235800,0.526,1,3nKeNPOQXlQhT7vPPdwDaq,0,5,0.257,-7.881,0,Lonely,48,2005-01-01,0.0333,90.086
0.796,2011,0.0319,Gym Class Heroes,0.646,210960,0.795,0,4ywvnllm7kpaXDsa1VNNpY,0,9,0.267,-3.293,1,Stereo Hearts (feat. Adam Levine),65,2011-11-15,0.0976,89.99
0.566,2008,0.267,Akon,0.832,240747,0.87,0,1ARJhjuI6TNYZCxYygFQ4F,0,8,0.412,-4.2,0,Right Now (Na Na Na),67,2008-01-01,0.167,138.003
0.34,2006,0.225,Akon,0.801,293067,0.454,1,12yGwtB2h9NlzeOKYfVYTF,0,2,0.226,-6.035,1,Don't Matter,70,2006,0.0371,125.139
0.614,2008,0.122,Akon,0.743,312987,0.948,0,7rv0UuxMX7CpUUwEE1jVrd,0,0,0.112,-4.445,0,Beautiful,63,2008-01-01,0.0893,130.024
0.262,2010,0.186,Black Eyed Peas,0.659,219427,0.628,0,3JA9Jsuxr4xgHXEawAdCp4,0,0,0.105,-8.685,0,Just Can’t Get Enough,73,2010-01-01,0.179,94.05
0.654,2010,0.0336,Usher,0.663,220800,0.861,0,28AUzRo0nQLESL55WDV0um,0,7,0.082,-3.398,0,DJ Got Us Fallin' In Love (feat. Pitbull),54,2010-08-24,0.109,119.964
0.568,2010,0.0327,Taio Cruz,0.607,201547,0.934,0,7ElF5zxOwYP4qVSWVvse3W,0,3,0.0909,-4.217,1,Break Your Heart,74,2010-01-01,0.0314,122.01
0.425,2012,0.00446,Katy Perry,0.791,234653,0.754,0,6tS3XVuOyu10897O3ae7bi,0,0,0.163,-3.729,1,California Gurls,75,2012-03-12,0.0569,125.014
0.949,2010,0.332,Bruno Mars,0.738,190213,0.804,0,1ExfPZEiahqhLyajhybFeS,0,11,0.279,-3.851,1,The Lazy Song,73,2010-10-05,0.0621,174.943
0.765,2012,0.00125,Katy Perry,0.649,230747,0.815,0,455AfCsOhhLPRc68sE01D8,4.31e-05,3,0.671,-3.796,0,Last Friday Night (T.G.I.F.),76,2012-03-12,0.0415,126.03
0.301,2011,0.0678,David Guetta,0.604,245040,0.788,0,77TT8Xvx637TpzV8kKGkUw,0.153,0,0.127,-3.673,0,Titanium (feat. Sia),63,2011-08-31,0.103,126.06
0.796,2011,0.0319,Gym Class Heroes,0.646,210960,0.795,0,0qOnSQQF0yzuPWsXrQ9paz,0,9,0.267,-3.293,1,Stereo Hearts (feat. Adam Levine),83,2011-11-11,0.0976,89.99
0.619,2005,0.237,Gym Class Heroes,0.72,243773,0.744,0,2Lhdl74nwwVGOE2Gv35QuK,0,1,0.255,-6.938,0,Cupid's Chokehold / Breakfast in America,83,2005-02-22,0.12,78.953
0.646,2011,0.134,Gym Class Heroes,0.716,222213,0.838,1,3bfqkspKABT4pPicm6wC9F,0,10,0.148,-4.289,1,Ass Back Home (feat. Neon Hitch),63,2011-11-11,0.0513,130.034
0.523,2012,0.0136,Maroon 5,0.739,231387,0.756,1,1LmN9SSHISbtp9LoaR5ZVJ,0,4,0.37,-4.828,1,Payphone,75,2012-01-01,0.0394,110.028
0.232,2010,0.158,Diddy - Dirty Money,0.392,238693,0.839,0,6Iocm6VMu6bVNYwiDoyQFW,0,7,0.3,-1.921,1,Coming Home,69,2010-01-01,0.193,168.001
0.724,2014,0.0921,Pitbull,0.721,229360,0.802,1,2KJnNfCzNIyBJl07Go0fV8,0,1,0.694,-5.797,1,Time of Our Lives,41,2014-11-17,0.0583,124.022
0.103,2010,0.0421,Nelly,0.531,237800,0.752,0,3ZdJffjzJWFimSQyxgGIxN,0,1,0.12,-6.161,1,Just A Dream,74,2010-11-12,0.0305,89.917
0.195,2009,0.173,Iyaz,0.706,182307,0.751,0,5vlEg2fT4cFWAqU5QptIpQ,0,9,0.168,-6.323,1,Replay,74,2009-08-11,0.0708,91.031
0.852,2010,0.0269,Jason Derulo,0.762,198960,0.739,0,0TyOpxlWwDx98bjkIVHUgY,0,0,0.498,-4.178,0,In My Head,57,2010-03-01,0.0328,110.002
0.428,2010,0.323,JAY-Z,0.591,268013,0.921,1,2a8CtZyPdd8w2csZh7oxpc,0,1,0.302,-1.787,1,Run This Town,51,2010-11-22,0.313,86.808
0.227,2010,0.146,Bruno Mars,0.706,223253,0.558,0,2tJulUYLDKOg9XrtVkMgcJ,0,2,0.118,-7.237,0,Grenade,77,2010-10-05,0.0593,110.443
0.627,2010,0.0295,DMX,0.501,219253,0.851,1,6uP0XLqjRqFx8HAfesdcAg,0,10,0.0775,-5.111,0,X Gon' Give It To Ya,0,2010-01-01,0.292,95.058
0.397,2011,0.0869,Dr. Dre,0.594,283733,0.946,1,70ATm56tH7OrQ1zurYssz0,0,3,0.306,-4.521,1,I Need A Doctor,70,2011-02-01,0.452,155.826
0.445,2008,0.000304,P!nk,0.535,215160,0.887,1,6qYGUxPjQt5PJtWdiNppZx,2.23e-06,11,0.257,-3.106,1,So What,0,2008-10-24,0.0449,126.01
0.283,2015,0.369,Wiz Khalifa,0.689,229526,0.481,0,7wqSzGeodspE3V6RBD5W8L,1.03e-06,10,0.0649,-7.503,1,See You Again (feat. Charlie Puth),0,2015-03-10,0.0815,80.025
0.861,2008,7.95e-05,Katy Perry,0.706,220227,0.841,0,1TEjSXPdAakDotj2Wji3PU,0,7,0.0688,-3.956,1,Hot N Cold,68,2008-06-17,0.0418,132.032
0.478,1999,0.0835,DMX,0.534,268867,0.933,1,4MxZW1XEcPuIZmkANsJabC,0,11,0.394,-3.282,1,Party Up,0,1999-01-01,0.366,202.058
0.136,2002,0.0301,Lil Jon & The East Side Boyz,0.521,334067,0.625,1,0r2Bul2NuCViraT2zX1l5j,0,1,0.121,-7.47,1,Get Low,71,2002-10-29,0.067,101.019
0.542,2008,0.0336,Rihanna,0.835,267080,0.669,0,0ByMNEPAPpOR5H69DVrTNy,6.92e-05,6,0.0535,-5.582,0,Don't Stop The Music,78,2008-06-02,0.0643,122.668
0.368,2006,0.0373,Akon,0.866,247067,0.454,1,4xAk8Lw82G3YoVSOdVAsBx,1.49e-06,0,0.275,-9.383,1,I Wanna Love You,67,2006,0.0414,99.985
0.691,2012,0.0213,Katy Perry,0.603,206373,0.872,0,4z8ssgZfs5TzKiO8HaGWXO,0,5,0.366,-5.404,0,E.T.,66,2012-03-12,0.0792,150.104
0.542,2012,0.039,Pitbull,0.673,229507,0.758,0,0Hf4aIJpsN4Os2f0y0VqWl,0,7,0.341,-3.632,1,Feel This Moment (feat. Christina Aguilera),78,2012,0.158,135.956
0.703,2011,0.00482,Havana Brown,0.697,228200,0.861,1,0mtPNQl5vePVwiI9Vykp7L,1.83e-06,9,0.41,-4.389,0,We Run The Night,56,2011-01-01,0.144,127.023
0.306,2006,0.831,Plain White T's,0.522,233280,0.453,0,3DWOTqMQGp5q75fnVsWwaN,1.21e-06,2,0.101,-7.859,1,Hey There Delilah,61,2006,0.0295,103.879
0.441,2012,0.346,P!nk,0.778,242733,0.547,0,4VC5nFbYO4avKksJ9jN4pY,0.000302,2,0.132,-7.273,1,Just Give Me a Reason (feat. Nate Ruess),0,2012-09-14,0.0489,95.002
0.494,2010,0.0391,P!nk,0.575,213587,0.648,1,37Veo3TsREFZKvfZ0CaI4S,0,7,0.364,-4.747,1,F**kin' Perfect,0,2010-11-12,0.0333,91.974
0.331,2012,0.00246,Maroon 5,0.657,225307,0.679,0,6TwfdLbaxTKzQi3AgsZNzx,0,2,0.211,-5.511,1,Daylight,60,2012-01-01,0.0269,120.007
0.588,2007,0.00511,Fall Out Boy,0.459,203507,0.891,0,3Zwu2K0Qa5sT6teCCHPShP,0,10,0.106,-5.057,0,Thnks fr th Mmrs,77,2007-01-01,0.0623,154.837
0.328,2014,0.000185,Maroon 5,0.279,231013,0.742,0,2bL2gyO6kBdLkNSkxXNh6x,0,4,0.593,-6.46,0,Animals,80,2014-09-02,0.0898,189.868
0.53,2011,0.191,Pitbull,0.671,252307,0.939,0,4QNpBfC0zvjKqPJcyqBy9W,0,8,0.298,-3.206,1,Give Me Everything,82,2011-06-17,0.161,129.024
0.154,2016,0.494,Lady Gaga,0.666,205280,0.423,0,7dZ1Odmx9jWIweQSatnRqo,0,0,0.106,-8.012,1,Million Reasons,77,2016-10-21,0.043,129.89
0.56,2002,0.00105,Sum 41,0.431,158733,0.95,1,2OMqSRS11ly56zg9u5za6c,3.63e-05,7,0.272,-4.918,1,Still Waiting,63,2002-01-01,0.26,191.936
0.093,2002,0.0455,Eminem,0.722,269013,0.553,1,73qINA7ccO03wxD8nsJalr,0,8,0.08,-3.578,0,When The Music Stops,60,2002-05-26,0.118,92.996
0.771,2001,0.0803,D12,0.75,261093,0.849,1,3vBv2Tp0kHyBDUBZJr9GXQ,0,0,0.333,-3.097,1,Fight Music,65,2001-01-01,0.264,89.501
0.712,2009,0.458,Macklemore,0.758,246213,0.676,0,1FCQEg7wOK9IIBuxx63krr,0,5,0.0954,-6.598,1,And We Danced (feat. Ziggy Stardust),67,2009-09-07,0.0792,124.998
0.662,2012,0.0619,Macklemore & Ryan Lewis,0.781,235613,0.526,1,3AYcyxEACnmE6d96RPubID,0,6,0.0457,-6.985,0,Thrift Shop (feat. Wanz),20,2012-10-09,0.293,94.992
0.88,2012,0.027,Macklemore & Ryan Lewis,0.634,258432,0.927,0,3BE0getU08uXas8ZjULABA,0,2,0.0986,-4.468,1,Can't Hold Us (feat. Ray Dalton),6,2012-10-10,0.0838,146.094
0.451,2017,0.39,Julia Michaels,0.722,176347,0.417,0,6AeQlMyRzvSl1nkFztZyKl,0,8,0.0612,-6.825,1,Issues,56,2017-01-13,0.0618,113.965
0.805,2003,0.26,50 Cent,0.902,193467,0.72,1,4RY96Asd9IefaL3X4LOLZ8,0,6,0.0749,-2.776,0,In Da Club,72,2003-02-06,0.347,90.059
0.573,2010,0.0587,Tinie Tempah,0.644,219560,0.945,1,61HQWI1Woxup7CnGwVUsdI,0,7,0.184,-3.534,1,Written in the Stars (feat. Eric Turner),55,2010-05-31,0.0717,91.017
0.822,2000,0.0795,Xzibit,0.936,255640,0.678,1,5stZnlPMYz3Ba8Hbo3ajlP,0,4,0.0838,-3.012,0,X,62,2000-04-02,0.21,96.911
0.683,2009,0.0108,Jay Sean,0.657,212107,0.695,0,7LP4Es66zdY7CyjepqmvAg,0,2,0.0822,-4.493,1,Down,52,2009-01-01,0.0321,65.997
0.33,2010,0.119,Eminem,0.522,299507,0.932,1,7bHT9osSq1rwT2yaImzqCi,0,11,0.177,-2.87,1,No Love,70,2010-06-18,0.255,129.473
0.803,2009,0.0242,Jay Sean,0.855,210307,0.668,0,7yws3pF3FFguwT2Psi6c15,0,11,0.102,-4.892,1,Do You Remember,42,2009-01-01,0.0644,125.846
0.779,2002,0.269,Tech N9ne,0.694,298600,0.895,1,2hnTGEeWAh9UHIjpMsPiFf,4.17e-06,9,0.4,-3.258,0,I'm a Playa,48,2002-09-24,0.335,167.974
0.467,2008,0.0161,T.I.,0.68,249533,0.687,1,1IAzD1muglOxOcPbUHs70R,0,9,0.261,-6.162,0,Whatever You Like,75,2008-09-07,0.0709,150.053
0.503,2010,0.0417,Eminem,0.668,278640,0.886,1,0sHW1jXe6Sou3437gJQNGA,0,0,0.459,-3.474,1,Space Bound,69,2010-06-18,0.117,142.002
0.327,2019,0.172,LÖNA,0.635,201071,0.68,1,1RMefBFIYQu1GxWn29GXm2,0.0307,11,0.0897,-8.183,0,I Never Wanna See You Again,6,2019-11-08,0.0444,122.035
0.331,1998,0.0453,2Pac,0.865,268827,0.665,1,1ofhfV90EnYhEr7Un2fWiv,0,7,0.224,-6.289,1,Changes,71,1998-01-01,0.073,111.113
0.857,1988,0.0193,N.W.A.,0.859,345717,0.75,1,5n8Aro6j1bEGIy7Tpo7FV7,0,8,0.0538,-8.325,0,Fuck Tha Police,70,1988-08-08,0.303,98.691
0.792,2003,0.151,DMX,0.537,286267,0.948,1,6RUpJeXT6U4SPEafnr9Wr7,0,8,0.356,-3.063,1,Where The Hood At,73,2003-01-01,0.355,186.151
0.169,2013,0.0215,Tech N9ne,0.563,250360,0.754,1,4hsncV3bzuB83dBJcnSCBl,0,1,0.653,-6.252,1,Straight Out the Gate,56,2013-07-30,0.0601,164.076
0.527,2009,0.281,Tech N9ne Collabos,0.782,240173,0.835,1,1AJx5jJQy9pKKxcnHm85RY,0,10,0.459,-4.278,0,Dysfunctional,62,2009-05-19,0.283,80.014
0.433,2014,0.00157,Tech N9ne Collabos,0.556,224213,0.868,1,2mumY7rLurSxmnWIC1PCtc,0,9,0.512,-5.741,1,Straight Out the Gate: (The Scott Stevens Remix) - Bonus Track,54,2014-05-06,0.0441,164.075
